data	sr_temp_pow	max_temp_pow	min_temp_pow	min_temp_pow_przy_gruncie	sr_wilgotnosc_pow sr_preznosc_pary_wodnej	sr_zachmurzenie	sr_predkosc_wiatru	czas_trwania_wiatru_10_m_s	czas_trwania_wiatru_15_m_s	cisnienie_na_poziomie_morza	cisnienie_na_poziomie_stacji	dobowa_suma_opadu	opad_dzien	opad_noc	wysokosc_pokrywy_snieznej	rownowaznik_wodny_sniegu	uslonecznienie	czas_trwania_opadu_deszczu	czas_trwania_opadu_sniegu	czas_trwania_opadu_deszczu_ze_sniegiem	czas_trwania_mgly	czas_trwania_rosy	czas_trwania_szronu	czas_trwania_burzy
2017-09-13	15.3	19.2	11.2	10.7	68.8	11.5	4.9	5.5	0.0	0.0	1010.6	982.1	0.4	0.0	0.4	-	0.0	-	-	-	-	-	-	-	-
2017-09-14	19.4	26.2	13.0	11.8	60.5	13.0	5.0	5.9	0.5	0.0	1005.3	977.3	2.7	1.2	1.5	-	0.0	-	6.4	-	-	-	-	-	-
2017-09-15	12.4	15.7	9.4	6.2	74.0	10.6	6.0	4.1	1.8	0.0	1014.2	985.3	0.6	0.0	0.6	-	0.0	-	-	-	-	-	1.0	-	-
2017-09-16	12.6	14.3	10.7	8.0	89.5	13.1	7.5	2.4	0.0	0.0	1013.9	985.0	0.8	0.5	0.3	-	0.0	-	4.6	-	-	-	4.7	-	-
2017-09-17	12.9	13.9	12.1	10.0	92.6	13.7	8.0	2.8	0.0	0.0	1010.4	981.7	24.8	16.8	8.0	-	0.0	-	12.2	-	-	-	-	-	-
2017-09-18	12.2	17.5	8.5	6.5	78.5	10.8	3.3	4.6	0.0	0.0	1015.3	986.4	0.0	0.0	0.0	-	0.0	-	0.7	-	-	-	4.0	-	-
2017-09-19	10.0	13.3	5.3	3.0	90.4	11.1	6.3	3.0	0.0	0.0	1016.4	987.2	6.7	1.4	5.3	-	0.0	-	12.8	-	-	0.4	0.8	-	-
2017-09-20	11.1	12.4	10.2	9.5	91.0	12.0	8.0	3.4	0.0	0.0	1014.9	985.8	2.2	0.5	1.7	-	0.0	-	8.6	-	-	-	-	-	-
2017-09-21	10.9	11.4	10.4	8.2	89.9	11.7	8.0	4.6	0.0	0.0	1014.8	985.7	24.9	20.1	4.8	-	0.0	-	20.5	-	-	-	-	-	-
2017-09-22	11.0	12.2	10.1	9.0	93.3	12.2	7.9	3.3	0.0	0.0	1018.8	989.7	11.9	0.5	11.4	-	0.0	-	6.0	-	-	-	-	-	-
2017-09-23	11.0	11.8	10.2	9.3	96.0	12.6	8.0	4.0	0.0	0.0	1018.0	988.9	10.8	10.5	0.3	-	0.0	-	21.0	-	-	-	-	-	-
2017-09-24	13.1	16.3	11.2	9.5	89.5	13.4	7.4	2.1	0.0	0.0	1020.7	991.8	20.1	0.7	19.4	-	0.0	-	7.1	-	-	-	-	-	-
2017-09-25	13.6	18.2	11.4	10.4	88.5	13.6	6.0	3.1	0.0	0.0	1023.6	994.6	0.0	0.0	0.0	-	0.0	-	1.5	-	-	-	3.0	-	-
2017-09-26	11.3	13.6	9.7	9.0	94.3	12.6	6.8	2.9	0.0	0.0	1027.8	998.4	0.0	0.0	0.0	-	0.0	-	-	-	-	3.5	9.3	-	-
2017-09-27	12.4	17.9	8.3	5.7	79.3	11.2	2.4	4.9	0.0	0.0	1029.0	999.7	0.0	0.0	0.0	-	0.0	-	-	-	-	-	11.0	-	-
2017-09-28	10.9	17.6	4.9	2.9	76.8	9.8	0.8	4.3	0.0	0.0	1030.9	1001.4	0.0	0.0	0.0	-	0.0	-	-	-	-	-	10.0	-	-
2017-09-29	9.5	16.1	3.3	2.3	83.0	9.9	1.1	2.5	0.0	0.0	1028.7	999.1	0.0	0.0	0.0	-	0.0	-	-	-	-	-	14.0	-	-
2017-09-30	9.2	15.9	4.2	1.5	85.9	9.9	2.0	2.6	0.0	0.0	1025.5	996.0	0.0	0.0	0.0	-	0.0	-	-	-	-	-	8.3	-	-
2017-10-01	8.7	15.8	1.7	-0.5	78.5	8.6	0.1	1.8	0.0	0.0	1025.7	996.1	0.0	0.0	0.0	-	0.0	-	-	-	-	-	6.8	-	-
2017-10-02	9.4	18.2	1.9	-0.4	76.8	8.7	3.4	1.0	0.0	0.0	1023.3	993.8	0.8	0.0	0.8	-	0.0	-	-	-	-	4.4	5.8	-	-
2017-10-03	10.3	14.5	5.4	4.0	91.1	11.6	7.6	2.3	0.0	0.0	1015.7	986.5	9.6	8.9	0.7	-	0.0	-	12.3	-	-	-	2.8	-	-
2017-10-04	11.4	14.6	8.0	4.0	79.9	10.6	7.0	4.6	0.0	0.0	1020.5	991.3	0.0	0.0	0.0	-	0.0	-	0.1	-	-	-	-	-	-
2017-10-05	11.3	12.1	9.8	5.0	76.8	10.3	7.0	6.9	5.5	1.1	1006.9	978.1	2.8	1.2	1.6	-	0.0	-	7.3	-	-	-	-	-	-
2017-10-06	9.1	14.5	7.4	5.8	81.6	9.4	6.5	6.5	1.6	0.0	1009.3	980.2	9.1	4.8	4.3	-	0.0	-	6.1	-	-	-	-	-	-
2017-10-07	8.6	12.4	7.2	5.0	88.3	9.8	6.0	3.0	0.0	0.0	1016.2	986.9	0.0	0.0	0.0	-	0.0	-	1.3	-	-	-	-	-	-
2017-10-08	8.8	11.8	4.6	4.0	88.4	10.1	7.4	4.0	0.0	0.0	1011.2	982.1	3.2	2.9	0.3	-	0.0	-	5.2	-	-	-	-	-	-
2017-10-09	7.0	10.2	4.8	2.9	82.6	8.2	4.5	5.5	0.0	0.0	1016.0	986.5	0.2	0.2	0.0	-	0.0	-	2.7	-	-	-	3.0	-	-
